Feature_Name,Feature_Type
Open,Price
High,Price
Low,Price
Close,Price
Volume,Volume
Dividends,Derived
Stock Splits,Derived
SMA_5,Technical
SMA_10,Technical
SMA_20,Technical
SMA_50,Technical
SMA_200,Technical
EMA_12,Technical
EMA_26,Technical
EMA_50,Technical
SMA_Cross_5_20,Technical
SMA_Cross_20_50,Technical
EMA_Cross,Technical
MACD,Technical
MACD_Signal,Technical
MACD_Histogram,Technical
RSI,Technical
RSI_Overbought,Technical
RSI_Oversold,Technical
BB_Middle,Technical
BB_Upper,Technical
BB_Lower,Technical
BB_Width,Technical
BB_Position,Technical
BB_Squeeze,Technical
High_Low,Derived
High_Close,Derived
Low_Close,Derived
True_Range,Derived
ATR_14,Technical
ATR_21,Technical
Price_Change,Derived
Price_Change_Pct,Derived
High_Low_Pct,Derived
Open_Close_Pct,Derived
Price_Position,Derived
Volume_SMA_20,Technical
Volume_Ratio,Volume
Volume_Change,Volume
Price_Volume_Trend,Volume
Momentum_5,Derived
Momentum_10,Derived
Momentum_20,Derived
Close_Lag_1,Derived
Return_Lag_1,Derived
Close_Lag_2,Derived
Return_Lag_2,Derived
Close_Lag_3,Derived
Return_Lag_3,Derived
Close_Lag_5,Derived
Return_Lag_5,Derived
Close_Lag_10,Derived
Return_Lag_10,Derived
Rolling_Std_5,Derived
Rolling_Mean_5,Derived
Rolling_Max_5,Derived
Rolling_Min_5,Derived
Rolling_Std_10,Derived
Rolling_Mean_10,Derived
Rolling_Max_10,Derived
Rolling_Min_10,Derived
Rolling_Std_20,Derived
Rolling_Mean_20,Derived
Rolling_Max_20,Derived
Rolling_Min_20,Derived
